Num Warps,Seed,Generation Time,Width,Height,Num Breaches,Num Portals,Density,Exploration,Map Linearity,Path Redundancy,Proximity to Danger,Average Room Size,Room Count
2,920046276,7.3930983543396,18,14,2,1,0.775,0.18571428571428572,0.43666666666666665,0.7142857142857143,0.125,0.41517857142857145,0.11666666666666667
2,1296584593,8.445538520812988,16,16,2,1,0.8421052631578947,0.12307692307692308,0.5403846153846155,0.8666666666666667,0.03333333333333333,0.2,0.2631578947368421
2,197998325,6.329692602157593,16,16,2,1,0.8421052631578947,0.14285714285714285,0.5245614035087719,0.8571428571428571,0.06349206349206349,0.2857142857142857,0.18421052631578946
2,1832124105,7.854431629180908,18,14,2,1,0.775,0.2387267904509284,0.609375,0.896551724137931,0.09195402298850575,0.20043103448275862,0.24166666666666667
2,483691388,4.274376392364502,17,14,2,1,0.7818181818181819,0.2604166666666667,0.5923076923076922,0.75,0.0625,0.3359375,0.14545454545454545
2,1758524037,7.481768369674683,18,14,2,1,0.775,0.15555555555555556,0.45000000000000007,0.8333333333333334,0.07407407407407407,0.3229166666666667,0.15
2,73143040,11.560245990753174,18,16,2,1,0.8115942028985508,0.12731481481481483,0.5361111111111111,0.84375,0.06875,0.21875,0.2318840579710145
2,597248911,7.859451055526733,16,16,2,1,0.8421052631578947,0.14854111405835543,0.4987654320987654,0.896551724137931,0.022988505747126436,0.20689655172413793,0.2543859649122807
2,98441724,15.522918939590454,18,16,2,1,0.8115942028985508,0.14814814814814814,0.5680000000000001,0.7777777777777778,0.09876543209876543,0.25925925925925924,0.1956521739130435
2,76971756,5.379241466522217,16,16,2,1,0.8421052631578947,0.1706349206349206,0.5141666666666667,0.875,0.027777777777777776,0.25,0.21052631578947367
2,1894462877,11.946692705154419,17,16,2,1,0.8253968253968254,0.12571428571428572,0.49375,0.8928571428571429,0.07142857142857142,0.23214285714285715,0.2222222222222222
2,968938822,21.362210035324097,17,16,2,1,0.8253968253968254,0.12186379928315412,0.43638095238095237,0.8709677419354839,0.0967741935483871,0.20967741935483872,0.24603174603174602
2,19027666,2.544100284576416,16,14,2,1,0.8,0.2180451127819549,0.6115384615384616,0.7368421052631579,0.11578947368421053,0.2631578947368421,0.19
2,14355084,4.865298509597778,17,14,2,1,0.7818181818181819,0.15217391304347827,0.5429824561403509,0.8695652173913043,0.057971014492753624,0.23369565217391305,0.20909090909090908
2,1611529825,2.373018264770508,16,14,2,1,0.8,0.22077922077922077,0.5888888888888889,0.7857142857142857,0.11904761904761904,0.35714285714285715,0.14
2,38288917,7.43999457359314,17,14,2,1,0.7818181818181819,0.1568627450980392,0.6041666666666666,0.7058823529411765,0.10588235294117647,0.3161764705882353,0.15454545454545454
2,1328423366,14.303205728530884,18,16,2,1,0.8115942028985508,0.2173913043478261,0.5766666666666667,0.8846153846153846,0.02564102564102564,0.2692307692307692,0.18840579710144928
2,1627118562,5.7924065589904785,17,14,2,1,0.7818181818181819,0.26666666666666666,0.46794871794871795,0.8,0.08888888888888889,0.35833333333333334,0.13636363636363635
2,1484233974,6.437884330749512,17,14,2,1,0.7818181818181819,0.19191919191919193,0.4944444444444444,0.8181818181818182,0.056818181818181816,0.24431818181818182,0.2
2,487040288,6.235008001327515,16,16,2,1,0.8421052631578947,0.1111111111111111,0.5231481481481481,0.9230769230769231,0.05128205128205128,0.15384615384615385,0.34210526315789475
2,1079852575,6.330788612365723,18,14,2,1,0.775,0.22222222222222224,0.6666666666666666,0.8,0.1111111111111111,0.3875,0.125
2,578553633,5.449509143829346,16,14,2,1,0.8,0.18823529411764706,0.6433333333333332,0.85,0.11666666666666667,0.25,0.2
2,1179379052,7.8524627685546875,16,16,2,1,0.8421052631578947,0.15898617511520738,0.5333333333333333,0.9032258064516129,0.021505376344086023,0.1935483870967742,0.2719298245614035
2,1387955247,5.269747495651245,17,14,2,1,0.7818181818181819,0.17916666666666667,0.7324561403508771,0.8333333333333334,0.03125,0.22395833333333334,0.21818181818181817
2,1560550534,10.594519138336182,18,16,2,1,0.8115942028985508,0.11888111888111888,0.5112836438923395,0.8461538461538461,0.07692307692307693,0.2692307692307692,0.18840579710144928
